applicant_id,age,gender,race,annual_income,credit_score,debt_to_income,employment_years,loan_amount_requested,previous_defaults,zip_code_risk,ai_risk_score,loan_approved
A00001,59,Female,White,50453.0,686.0,0.497,5.6,20216.0,0,Low,0.4082,1
A00002,23,Male,White,15000.0,689.0,0.457,3.2,14639.0,1,Medium,0.4053,1
A00003,51,Female,White,22051.0,572.0,0.254,5.1,11996.0,1,Medium,0.463,1
A00004,32,Male,Hispanic,49580.0,768.0,0.303,4.0,10653.0,0,Low,0.3073,1
A00005,35,Male,Black,92361.0,540.0,0.238,4.5,17429.0,1,Medium,0.5505,0
A00006,65,Female,Black,73301.0,705.0,0.111,2.7,26397.0,1,Low,0.5567,0
A00007,58,Male,Black,65850.0,639.0,0.408,3.0,7238.0,1,Medium,0.4885,1
A00008,60,Male,White,40114.0,689.0,0.375,2.2,16613.0,0,Medium,0.3377,1
A00009,34,Male,White,31386.0,659.0,0.259,5.2,32247.0,0,Medium,0.2834,1
A00010,55,Non-binary,White,70617.0,578.0,0.471,1.4,1000.0,0,Low,0.4304,1
A00011,36,Female,Hispanic,25876.0,653.0,0.299,11.0,24425.0,1,Low,0.4958,1
A00012,44,Female,Hispanic,95798.0,723.0,0.535,6.0,15916.0,0,High,0.5115,0
A00013,37,Female,Black,53915.0,658.0,0.327,0.0,10198.0,0,Low,0.4764,1
A00014,38,Female,Black,105365.0,637.0,0.156,6.9,12457.0,0,High,0.4031,1
A00015,62,Male,White,97584.0,501.0,0.578,2.4,28329.0,1,Low,0.6732,0
A00016,37,Female,Asian,65533.0,600.0,0.405,10.2,16698.0,0,Medium,0.4225,1
A00017,36,Female,Asian,64542.0,613.0,0.208,3.5,7242.0,1,Low,0.4683,1
A00018,41,Male,White,38875.0,755.0,0.29,11.6,9335.0,0,Medium,0.2984,1
A00019,44,Female,Black,88051.0,645.0,0.226,10.0,13010.0,0,High,0.4505,1
A00020,54,Female,Black,45465.0,726.0,0.499,20.6,26678.0,0,Low,0.3303,1
A00021,56,Male,Black,15000.0,610.0,0.05,6.4,12974.0,0,Low,0.3315,1
A00022,63,Male,Asian,83848.0,494.0,0.392,8.8,17752.0,0,Medium,0.4429,1
A00023,47,Male,Hispanic,68644.0,769.0,0.092,6.1,11086.0,2,High,0.4657,1
A00024,59,Female,Hispanic,42127.0,611.0,0.067,6.3,14015.0,0,Low,0.4653,1
A00025,37,Male,Black,61624.0,764.0,0.412,10.9,16381.0,0,High,0.4089,1
A00026,45,Male,White,55818.0,660.0,0.168,9.1,8696.0,0,Medium,0.2171,1
A00027,58,Male,White,91956.0,804.0,0.455,5.6,10189.0,0,Low,0.2341,1
