case_id,age,gender,race,prior_offenses,charge_severity,employed,education_level,community_ties,ai_recidivism_score,ai_recommends_detention
J00001,52,Female,Asian,2,Medium,1,Some College,0,0.4288,0
J00002,22,Male,Black,2,Medium,0,Some College,1,0.5996,1
J00003,24,Male,Hispanic,3,Medium,1,HS Diploma,0,0.6534,1
J00004,38,Female,Asian,1,Low,1,College+,1,0.0878,0
J00005,58,Male,Black,0,Low,1,No HS,1,0.2984,0
J00006,18,Female,Black,2,High,0,HS Diploma,0,0.796,1
J00007,42,Male,Black,0,Low,0,HS Diploma,1,0.4311,0
J00008,47,Male,Other,3,Low,1,Some College,1,0.4238,0
J00009,36,Male,Black,4,Low,1,College+,1,0.5311,0
J00010,41,Female,White,0,High,0,Some College,1,0.4261,0
J00011,63,Female,Black,0,Low,1,No HS,1,0.2543,0
J00012,32,Female,White,3,Low,1,College+,1,0.296,0
J00013,52,Female,Hispanic,3,Low,1,HS Diploma,1,0.453,0
J00014,41,Female,Asian,1,Low,1,No HS,1,0.2655,0
J00015,53,Male,White,3,Medium,0,HS Diploma,0,0.7289,1
J00016,31,Female,White,3,High,1,College+,0,0.6167,1
J00017,39,Female,White,1,Medium,0,No HS,1,0.5163,0
J00018,56,Male,White,1,Low,1,Some College,0,0.3253,0
J00019,25,Male,White,1,High,0,HS Diploma,1,0.588,1
J00020,33,Female,Hispanic,0,Medium,0,Some College,1,0.447,0
J00021,63,Male,White,1,Low,0,HS Diploma,1,0.3394,0
J00022,34,Male,White,1,High,0,College+,1,0.5266,0
J00023,22,Male,White,1,Low,1,No HS,0,0.3499,0
J00024,58,Male,White,0,Low,1,No HS,0,0.3306,0
J00025,52,Male,Black,3,Medium,1,No HS,1,0.5717,1
J00026,54,Male,Asian,2,Low,1,College+,1,0.2753,0
J00027,35,Male,White,0,Low,1,No HS,1,0.1659,0
J00028,38,Male,Hispanic,0,Medium,1,HS Diploma,1,0.2634,0
J00029,59,Male,Asian,4,Medium,1,HS Diploma,0,0.6626,1
J00030,18,Female,Hispanic,0,High,0,HS Diploma,1,0.5356,0
J00031,34,Female,White,1,Medium,0,Some College,1,0.4727,0
J00032,25,Male,White,0,Low,0,College+,0,0.4265,0
J00033,46,Male,White,0,Low,0,College+,1,0.2031,0
J00034,37,Female,Black,3,Medium,0,College+,0,0.6858,1
J00035,54,Female,Black,1,Medium,0,HS Diploma,1,0.522,0
J00036,56,Male,Black,2,Medium,1,College+,0,0.5644,1
J00037,22,Female,Black,0,High,1,Some College,1,0.36,0
J00038,27,Female,Hispanic,1,High,1,HS Diploma,1,0.3832,0
J00039,23,Male,Hispanic,0,Medium,1,HS Diploma,1,0.3567,0
J00040,24,Male,Black,2,Medium,1,HS Diploma,1,0.4837,0
J00041,52,Female,White,3,High,1,College+,0,0.6322,1
